facility_name;district_name
MTENDE;Mzimba
MTWALO;Mzimba
MZALANGWE;Mzimba
MZAMBAZI;Mzimba
MZIMBA D.H.;Mzimba
MZUZU URBAN;Mzimba
NJUYU;Mzimba
NKHORONGO;Mzimba
ST. JOHNS;Mzimba
ST. JOHN OF GOD;Mzimba
MZUZU C.H.;Mzimba
MATULI;Mzimba
KABWAFU;Mzimba
MKOMA;Mzimba
CHIKANGAWA;Mzimba
VIBAGALALA;Mzimba
KHUYUKUYU;Mzimba
LUWAWA;Mzimba
MHALAUNDA;Mzimba
EKWAIWENI;Mzimba
RAIPLY;Mzimba
EHEHLENI;Mzimba
BWENGU;Mzimba
ENGUCWINI;Mzimba
ENUKWENI;Mzimba
KAMWE;Mzimba
LUZI;Mzimba
THUNDUWIKE;Mzimba
Bula;Nkhata-bay
Chesamu;Nkhata-bay
Chikwina;Nkhata-bay
Chilambwe;Nkhata-bay
Chintheche Rural Hospital;Nkhata-bay
Chisala;Nkhata-bay
Chitheka;Nkhata-bay
Kachere;Nkhata-bay
Kande;Nkhata-bay
Khondowe;Nkhata-bay
Liuzi;Nkhata-bay
Lwazi Dispensary;Nkhata-bay
Mpamba;Nkhata-bay
Mzenga;Nkhata-bay
Nkhata Bay District Hospital;Nkhata-bay
Nthungwa;Nkhata-bay
Maula;Nkhata-bay
Ruarwe Dispensary;Nkhata-bay
Usisya;Nkhata-bay
DWAMBAZI;Nkhotakota
KASITU;Nkhotakota
NGALA;Nkhotakota
MSENJERE;Nkhotakota
NKHUNGA;Nkhotakota
LIWALADZI;Nkhotakota
DCGL;Nkhotakota
MATIKI;Nkhotakota
KATIMBIRA;Nkhotakota
ST. ANNES;Nkhotakota
MPAMANTHA;Nkhotakota
DIST. HOSP;Nkhotakota
CHIDIDI;Nkhotakota
BUA;Nkhotakota
MALOWA;Nkhotakota
MTOSA;Nkhotakota
KAPIRI;Nkhotakota
ALINAFE;Nkhotakota
BENGA;Nkhotakota
MWANSAMBO;Nkhotakota
Bilira;Ntcheu
Biriwiri;Ntcheu
Bwanje;Ntcheu
Chigodi;Ntcheu
Chikande;Ntcheu
Doviko;Ntcheu
Dzunje;Ntcheu
Ganya;Ntcheu
Gowa;Ntcheu
Kaloga;Ntcheu
Kampanje;Ntcheu
Kandeu;Ntcheu
Kapeni;Ntcheu
Kasinje;Ntcheu
Katsekera;Ntcheu
Lizulu;Ntcheu
Manjawira;Ntcheu
Matanda;Ntcheu
Mlanda;Ntcheu
Mlangeni;Ntcheu
Mphepozinai;Ntcheu
Ntonda;Ntcheu
Muluma;Ntcheu
Nsipe;Ntcheu
Nsiyaludzu;Ntcheu
Ntcheu;Ntcheu
Mzama ;Ntcheu
Senzani;Ntcheu
Sharpe Valle;Ntcheu
Tsangano;Ntcheu
Masasa;Ntcheu
